date,bot,compliance_pct,n_applicable,n_pass,grade,n_condors,day_pnl,breaches,naked_losses
2026-06-26,DIR-SPX-Put-Control,67,3,2,amber,1,-415,0,0
2026-06-26,IC-SPX-FastPT25-S2,100,5,5,green,1,900,0,0
2026-06-26,IC-SPX-FastPT25-S2-130PM,75,4,3,amber,7,-35,0,0
2026-06-26,IC-SPX-Fortress-Defang,75,4,3,amber,2,-200,0,0
2026-06-26,IC-SPX-Fortress-Unstopped,100,4,4,amber,2,-200,0,0
2026-06-26,QQQ-IC-0DTE-Fortress,100,3,3,amber,1,-4687,1,1
2026-06-26,QQQ-IC-0DTE-Fortress-NoPT50,100,3,3,amber,1,-4687,1,1
2026-06-29,3DTE $140-$350,100,3,3,green,1,35,0,0
2026-06-29,DIR-SPX-Put-Control,67,3,2,amber,1,-435,0,0
2026-06-29,IC-SPX-FastPT25-S2,100,5,5,green,1,500,0,0
2026-06-29,Nigiri-Paper-v1,100,3,3,green,1,50,0,0
2026-06-30,60min-ORB-10W-Paper-v1,100,3,3,green,1,80,0,0
2026-06-30,DIR-SPX-CallVIXdrop,67,3,2,amber,1,760,0,0
2026-06-30,DIR-SPX-Put-Control,67,3,2,amber,1,-400,0,0
2026-06-30,IC-SPX-FastPT25-S2,100,5,5,green,1,450,0,0
2026-06-30,IC-SPX-FastPT25-S2-130PM,75,4,3,amber,6,215,0,0
2026-06-30,IC-SPX-Fortress-Defang,75,4,3,amber,2,-50,0,0
2026-06-30,IC-SPX-Fortress-Unstopped,100,4,4,amber,2,-50,0,0
2026-06-30,Nigiri-Paper-v1,100,3,3,green,1,40,0,0
2026-06-30,Trendy-Paper-v1,100,3,3,green,1,19,0,0
2026-07-01,DIR-SPX-Put-Control,67,3,2,amber,1,-350,0,0
2026-07-01,IC-SPX-FastPT25-S2,100,5,5,amber,10,-250,0,0
2026-07-01,IC-SPX-FastPT25-S2-130PM,75,4,3,amber,5,50,3,0
2026-07-01,IC-SPX-Fortress-Defang,100,4,4,green,1,0,0,0
2026-07-01,IC-SPX-Fortress-Unstopped,100,4,4,green,1,0,0,0
2026-07-01,Nigiri-Paper-v1,67,3,2,amber,2,180,0,0
2026-07-02,DIR-SPX-CallVIXdrop,50,2,1,amber,1,-400,0,0
2026-07-02,DIR-SPX-Put-Control,75,4,3,amber,1,555,0,0
2026-07-02,IC-SPX-FastPT25-S2,100,5,5,amber,2,-1550,1,0
2026-07-02,IC-SPX-FastPT25-S2-130PM,75,4,3,amber,6,215,5,0
2026-07-02,IC-SPX-Fortress-Defang,100,4,4,green,1,150,0,0
2026-07-02,IC-SPX-Fortress-Unstopped,100,5,5,green,1,250,0,0
