bot,pillar,underlying,role,epoch,trade_id,symbol,structure,status,quantity,credit,exit_price,pnl,risk,open_date,close_date,expiration,tags,single_sided,short_put,long_put,short_call,long_call,premium,underlying_open,underlying_close,mfe_pct,mae_pct,mfe_date,mae_date
IC-SPX-FastPT25-S2,IC,SPX,live-candidate,post-fix,T00001,SPX,shortputspread,expired,10,0.2,0,200,4800,2026-07-02 13:02:02,2026-07-02 16:15:00,2026-07-02 16:00:00,put side,False,7385,7380,,,-200,7442.69,7483.24,1,-1.25,2026-07-02 14:13:00,2026-07-02 13:05:00
IC-SPX-Fortress-Unstopped,IC,SPX,control,pre-fix,T00003,SPX,shortputspread,expired,10,0.15,0,150,4850,2026-07-02 13:31:00,2026-07-02 16:15:00,2026-07-02 16:00:00,put side,False,7385,7380,,,-150,7443.1,7483.24,1,-0.66666667,2026-07-02 14:13:00,2026-07-02 13:48:00
IC-SPX-FastPT25-S2,IC,SPX,live-candidate,post-fix,T00001,SPX,shortcallspread,expired,10,0.1,0,100,4900,2026-07-02 13:02:03,2026-07-02 16:15:00,2026-07-02 16:00:00,call side,False,,,7500,7505,-100,7442.87,7483.24,1,-0.5,2026-07-02 13:48:00,2026-07-02 13:17:00
IC-SPX-Fortress-Unstopped,IC,SPX,control,pre-fix,T00003,SPX,shortcallspread,expired,10,0.1,0,100,4900,2026-07-02 13:31:02,2026-07-02 16:15:00,2026-07-02 16:00:00,call side,False,,,7500,7505,-100,7442.98,7483.24,1,-0.5,2026-07-02 13:48:00,2026-07-02 14:41:00
IC-SPX-Fortress-Defang,IC,SPX,experiment,baseline,T00004,SPX,shortputspread,closed,10,0.15,0.05,100,4850,2026-07-02 13:31:00,2026-07-02 15:25:03,2026-07-02 16:00:00,put side,False,7385,7380,,,-150,7443.1,7443.16,1,-0.66666667,2026-07-02 14:13:00,2026-07-02 13:48:00
IC-SPX-Fortress-Defang,IC,SPX,experiment,baseline,T00004,SPX,shortcallspread,closed,10,0.1,0.05,50,4900,2026-07-02 13:31:02,2026-07-02 15:24:03,2026-07-02 16:00:00,call side,False,,,7500,7505,-100,7442.98,7443.91,1,-0.5,2026-07-02 13:48:00,2026-07-02 14:41:00
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00010,SPX,shortputspread,closed,11,0.5,0.35,165,4950,2026-07-02 13:59:03,2026-07-02 14:01:00,2026-07-02 16:00:00,put side,True,7395,7390,,,-550,7427.65,7432.09,0.3,0,2026-07-02 14:01:00,2026-07-02 13:59:03
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00006,SPX,shortputspread,closed,10,0.3,0.5,-200,4700,2026-07-02 13:45:07,2026-07-02 13:59:01,2026-07-02 16:00:00,put side,False,7395,7390,,,-300,7437.49,7427.94,0.16666667,-0.5,2026-07-02 13:55:00,2026-07-02 13:48:00
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00009,SPX,shortcallspread,closed,10,0.2,0.1,100,4800,2026-07-02 13:47:03,2026-07-02 13:59:00,2026-07-02 16:00:00,call side,True,,,7475,7480,-200,7433.6,7427.91,0.5,-0.15,2026-07-02 13:59:00,2026-07-02 13:50:00
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00006,SPX,shortcallspread,closed,10,0.45,0.3,150,4550,2026-07-02 13:45:08,2026-07-02 13:47:00,2026-07-02 16:00:00,call side,False,,,7470,7475,-450,7438.04,7433.77,0.33333333,0,2026-07-02 13:47:00,2026-07-02 13:45:09
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00005,SPX,shortcallspread,closed,10,0.3,0.3,0,4700,2026-07-02 13:40:03,2026-07-02 13:45:05,2026-07-02 16:00:00,call side,False,,,7475,7480,-300,7434.18,7437.37,0.16666667,-0.16666667,2026-07-02 13:41:00,2026-07-02 13:42:00
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00005,SPX,shortputspread,closed,10,0.35,0.25,100,4650,2026-07-02 13:40:03,2026-07-02 13:45:00,2026-07-02 16:00:00,put side,False,7395,7390,,,-350,7434.18,7437.46,0.28571429,0,2026-07-02 13:45:00,2026-07-02 13:41:00
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00007,SPX,shortputspread,closed,10,0.4,0.55,-150,4600,2026-07-02 13:37:02,2026-07-02 13:40:02,2026-07-02 16:00:00,put side,False,7400,7395,,,-400,7437.25,7434.07,0,-0.125,2026-07-02 13:37:02,2026-07-02 13:39:00
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00007,SPX,shortcallspread,closed,10,0.25,0.15,100,4750,2026-07-02 13:37:03,2026-07-02 13:40:00,2026-07-02 16:00:00,call side,False,,,7480,7485,-250,7437.5,7434.13,0.4,0,2026-07-02 13:40:00,2026-07-02 13:37:03
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00008,SPX,shortputspread,closed,10,0.3,0.45,-150,4700,2026-07-02 13:31:00,2026-07-02 13:37:02,2026-07-02 16:00:00,put side,False,7400,7395,,,-300,7443.1,7437.5,0.1,-0.4,2026-07-02 13:33:00,2026-07-02 13:37:00
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00008,SPX,shortcallspread,closed,10,0.35,0.25,100,4650,2026-07-02 13:31:02,2026-07-02 13:37:00,2026-07-02 16:00:00,call side,False,,,7480,7485,-350,7442.98,7437.21,0.28571429,-0.14285714,2026-07-02 13:37:00,2026-07-02 13:33:00
IC-SPX-FastPT25-S2,IC,SPX,live-candidate,post-fix,T00002,SPX,shortcallspread,closed,10,0.15,0.05,100,4850,2026-07-02 11:01:02,2026-07-02 13:02:01,2026-07-02 16:00:00,call side,False,,,7560,7565,-150,7503.9,7442.69,1,0,2026-07-02 11:30:00,2026-07-02 11:01:02
IC-SPX-FastPT25-S2,IC,SPX,live-candidate,post-fix,T00002,SPX,shortputspread,closed,10,0.35,2.3,-1950,4650,2026-07-02 11:01:00,2026-07-02 13:02:00,2026-07-02 16:00:00,put side,False,7445,7440,,,-350,7502.99,7442.66,0,-5.57142857,2026-07-02 11:01:00,2026-07-02 13:02:00
DIR-SPX-Put-Control,Directional,SPX,control,post-fix,T00011,SPX,longputspread,closed,1,5.55,11.1,555,555,2026-07-02 11:00:03,2026-07-02 11:51:00,2026-07-02 16:00:00,,False,7490,7505,,,555,7504.33,7473.08,1,0,2026-07-02 11:51:00,2026-07-02 11:00:03
DIR-SPX-CallVIXdrop,Directional,SPX,experiment,post-fix,T00012,SPX,longcallspread,closed,1,6.9,2.9,-400,690,2026-07-02 11:00:03,2026-07-02 11:08:01,2026-07-02 16:00:00,,False,,,7520,7505,690,7504.33,7470.23,0.03623188,-0.58405797,2026-07-02 11:00:03,2026-07-02 11:08:00
Nigiri-Paper-v1,OA-Mirror,,mirror-watch,baseline,T00013,SPY,shortputspread,closed,10,0.11,0.02,90,4890,2026-07-01 09:45:28,2026-07-02 09:45:12,2026-07-06 16:00:00,,True,720,715,,,-110,743.25,749.96,0.90909091,0,2026-07-02 09:33:00,2026-07-01 09:45:28
Nigiri-Paper-v1,OA-Mirror,,mirror-watch,baseline,T00014,SPY,shortputspread,closed,10,0.11,0.02,90,4890,2026-07-01 09:45:28,2026-07-02 09:45:12,2026-07-06 16:00:00,,True,720,715,,,-110,743.25,749.94,0.90909091,0,2026-07-02 09:33:00,2026-07-01 09:45:28
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00015,SPX,shortputspread,closed,10,0.15,0.25,-100,4850,2026-07-01 13:54:04,2026-07-01 14:01:02,2026-07-01 16:00:00,put side,False,7475,7470,,,-150,7504.37,7502.36,0,-0.66666667,2026-07-01 14:01:00,2026-07-01 13:58:00
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00016,SPX,shortputspread,closed,10,0.25,0.15,100,4750,2026-07-01 13:45:09,2026-07-01 14:01:00,2026-07-01 16:00:00,put side,False,7475,7470,,,-250,7501.91,7502.52,0.4,0,2026-07-01 14:01:00,2026-07-01 13:45:09
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00015,SPX,shortcallspread,closed,10,0.45,0.3,150,4550,2026-07-01 13:54:05,2026-07-01 13:58:00,2026-07-01 16:00:00,call side,False,,,7520,7525,-450,7504.24,7500.46,0.33333333,0,2026-07-01 13:58:00,2026-07-01 13:54:05
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00016,SPX,shortcallspread,closed,10,0.2,0.3,-100,4800,2026-07-01 13:45:10,2026-07-01 13:54:03,2026-07-01 16:00:00,call side,False,,,7525,7530,-200,7502.08,7504.1,0,-0.5,2026-07-01 13:45:10,2026-07-01 13:54:00
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00017,SPX,shortputspread,closed,10,0.2,0.35,-150,4800,2026-07-01 13:42:04,2026-07-01 13:45:07,2026-07-01 16:00:00,put side,False,7480,7475,,,-200,7505.73,7501.96,0,-0.65,2026-07-01 13:42:04,2026-07-01 13:45:00
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00017,SPX,shortcallspread,closed,10,0.35,0.25,100,4650,2026-07-01 13:42:05,2026-07-01 13:45:01,2026-07-01 16:00:00,call side,False,,,7525,7530,-350,7505.68,7502.38,0.28571429,0,2026-07-01 13:45:00,2026-07-01 13:42:05
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00018,SPX,shortputspread,closed,10,0.25,0.25,0,4750,2026-07-01 13:33:03,2026-07-01 13:42:03,2026-07-01 16:00:00,put side,False,7480,7475,,,-250,7505.38,7505.73,0.2,0,2026-07-01 13:39:00,2026-07-01 13:33:04
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00018,SPX,shortcallspread,closed,10,0.2,0.15,50,4800,2026-07-01 13:33:04,2026-07-01 13:42:00,2026-07-01 16:00:00,call side,False,,,7530,7535,-200,7505.36,7505.63,0.25,-0.25,2026-07-01 13:42:00,2026-07-01 13:34:00
IC-SPX-Fortress-Defang,IC,SPX,experiment,baseline,T00020,SPX,shortputspread,closed,10,0.1,0.1,0,4900,2026-07-01 13:33:00,2026-07-01 13:35:03,2026-07-01 16:00:00,put side,True,7450,7445,,,-100,7505.35,7505.57,0.5,0.2,2026-07-01 13:34:00,2026-07-01 13:33:01
IC-SPX-Fortress-Unstopped,IC,SPX,control,pre-fix,T00021,SPX,shortputspread,closed,10,0.1,0.1,0,4900,2026-07-01 13:33:00,2026-07-01 13:35:03,2026-07-01 16:00:00,put side,True,7450,7445,,,-100,7505.35,7505.57,0.5,0.2,2026-07-01 13:34:00,2026-07-01 13:33:01
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00019,SPX,shortputspread,closed,10,0.2,0.3,-100,4800,2026-07-01 13:31:00,2026-07-01 13:33:02,2026-07-01 16:00:00,put side,False,7480,7475,,,-200,7508.71,7505.4,0,-0.25,2026-07-01 13:31:01,2026-07-01 13:33:00
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00019,SPX,shortcallspread,closed,10,0.3,0.2,100,4700,2026-07-01 13:31:02,2026-07-01 13:33:00,2026-07-01 16:00:00,call side,False,,,7530,7535,-300,7508.53,7505.35,0.33333333,0,2026-07-01 13:33:00,2026-07-01 13:31:02
DIR-SPX-Put-Control,Directional,SPX,control,post-fix,T00022,SPX,longputspread,closed,1,4.6,1.1,-350,460,2026-07-01 11:00:02,2026-07-01 12:03:00,2026-07-01 16:00:00,,False,7480,7495,,,460,7496.48,7517.64,0,-0.76086957,2026-07-01 11:00:02,2026-07-01 12:03:00
IC-SPX-FastPT25-S2,IC,SPX,live-candidate,post-fix,T00023,SPX,shortputspread,closed,10,0.1,0.15,-50,4900,2026-07-01 11:27:02,2026-07-01 11:30:02,2026-07-01 16:00:00,put side,True,7460,7455,,,-100,7516.97,7520.84,0.5,0,2026-07-01 11:29:00,2026-07-01 11:27:03
IC-SPX-FastPT25-S2,IC,SPX,live-candidate,post-fix,T00024,SPX,shortputspread,closed,10,0.1,0.15,-50,4900,2026-07-01 11:24:04,2026-07-01 11:27:01,2026-07-01 16:00:00,put side,True,7460,7455,,,-100,7517.27,7516.97,0,0,2026-07-01 11:24:04,2026-07-01 11:24:04
IC-SPX-FastPT25-S2,IC,SPX,live-candidate,post-fix,T00025,SPX,shortputspread,closed,10,0.15,0.2,-50,4850,2026-07-01 11:21:04,2026-07-01 11:24:03,2026-07-01 16:00:00,put side,True,7460,7455,,,-150,7515.79,7517.35,0.33333333,0,2026-07-01 11:24:00,2026-07-01 11:21:04
IC-SPX-FastPT25-S2,IC,SPX,live-candidate,post-fix,T00026,SPX,shortputspread,closed,10,0.15,0.15,0,4850,2026-07-01 11:18:03,2026-07-01 11:21:03,2026-07-01 16:00:00,put side,True,7455,7450,,,-150,7511.73,7515.86,0.33333333,0,2026-07-01 11:21:00,2026-07-01 11:18:04
IC-SPX-FastPT25-S2,IC,SPX,live-candidate,post-fix,T00027,SPX,shortputspread,closed,10,0.15,0.2,-50,4850,2026-07-01 11:15:08,2026-07-01 11:18:02,2026-07-01 16:00:00,put side,True,7455,7450,,,-150,7509.59,7511.64,0.33333333,0,2026-07-01 11:18:00,2026-07-01 11:15:08
IC-SPX-FastPT25-S2,IC,SPX,live-candidate,post-fix,T00028,SPX,shortputspread,closed,10,0.2,0.15,50,4800,2026-07-01 11:12:03,2026-07-01 11:15:05,2026-07-01 16:00:00,put side,True,7450,7445,,,-200,7504.29,7509.34,0.25,0.25,2026-07-01 11:12:03,2026-07-01 11:12:03
IC-SPX-FastPT25-S2,IC,SPX,live-candidate,post-fix,T00029,SPX,shortputspread,closed,10,0.15,0.2,-50,4850,2026-07-01 11:09:03,2026-07-01 11:12:01,2026-07-01 16:00:00,put side,True,7445,7440,,,-150,7503.27,7504.29,0.33333333,0,2026-07-01 11:11:00,2026-07-01 11:09:03
IC-SPX-FastPT25-S2,IC,SPX,live-candidate,post-fix,T00030,SPX,shortputspread,closed,10,0.15,0.25,-100,4850,2026-07-01 11:06:03,2026-07-01 11:09:02,2026-07-01 16:00:00,put side,True,7450,7445,,,-150,7506.55,7502.56,0,-0.2,2026-07-01 11:06:03,2026-07-01 11:09:00
IC-SPX-FastPT25-S2,IC,SPX,live-candidate,post-fix,T00031,SPX,shortputspread,closed,10,0.2,0.2,0,4800,2026-07-01 11:03:03,2026-07-01 11:06:02,2026-07-01 16:00:00,put side,True,7445,7440,,,-200,7501.52,7506.55,0.4,0.15,2026-07-01 11:05:00,2026-07-01 11:03:03
IC-SPX-FastPT25-S2,IC,SPX,live-candidate,post-fix,T00032,SPX,shortputspread,closed,10,0.2,0.15,50,4800,2026-07-01 11:01:01,2026-07-01 11:03:02,2026-07-01 16:00:00,put side,True,7440,7435,,,-200,7498,7501.52,0.4,0.15,2026-07-01 11:03:00,2026-07-01 11:01:01
Trendy-Paper-v1,OA-Mirror,,mirror-watch,baseline,T00033,SPY,shortputspread,closed,1,0.8,0.61,19,920,2026-06-30 09:45:15,2026-07-01 09:45:06,2026-07-10 16:00:00,,True,722,712,,,-80,742.3,743.16,0.525,-0.025,2026-06-30 15:57:00,2026-06-30 09:48:00
3DTE $140-$350,OA-Mirror,SPX,mirror-watch,baseline,T00034,SPX,ironcondor,closed,1,0.5,0.15,35,950,2026-06-29 10:00:03,2026-07-01 09:45:02,2026-07-02 16:00:00,"220,60percent",False,7175,7165,7620,7630,-50,7398.48,7457.91,0.84,-1.1,2026-07-01 09:31:00,2026-06-29 10:17:00
Nigiri-Paper-v1,OA-Mirror,,mirror-watch,baseline,T00035,SPY,shortputspread,closed,10,0.11,0.07,40,4890,2026-06-30 09:45:25,2026-07-01 09:45:02,2026-07-06 16:00:00,,True,715,710,,,-110,742.14,743.06,0.63636364,-0.18181818,2026-06-30 14:05:00,2026-06-30 09:48:00
60min-ORB-10W-Paper-v1,OA-Mirror,SPX,mirror-watch,baseline,T00036,SPX,shortputspread,expired,1,0.8,0,80,920,2026-06-30 10:45:02,2026-06-30 16:15:00,2026-06-30 16:00:00,test a,True,7435,7425,,,-80,7476.12,7499.36,1,-1.3125,2026-06-30 14:11:00,2026-06-30 10:58:00
IC-SPX-FastPT25-S2,IC,SPX,live-candidate,post-fix,T00037,SPX,shortputspread,expired,10,0.35,0,350,4650,2026-06-30 11:01:00,2026-06-30 16:15:00,2026-06-30 16:00:00,put side,False,7410,7405,,,-350,7463.76,7499.36,1,0,2026-06-30 12:19:00,2026-06-30 11:01:01
DIR-SPX-CallVIXdrop,Directional,SPX,experiment,post-fix,T00038,SPX,longcallspread,expired,1,7.4,15,760,740,2026-06-30 11:00:03,2026-06-30 16:15:00,2026-06-30 16:00:00,,False,,,7475,7460,740,7461.21,7499.36,1.02702703,-0.02027027,2026-06-30 15:19:00,2026-06-30 11:00:03
IC-SPX-FastPT25-S2,IC,SPX,live-candidate,post-fix,T00037,SPX,shortcallspread,expired,10,0.1,0,100,4900,2026-06-30 11:01:01,2026-06-30 16:15:00,2026-06-30 16:00:00,call side,False,,,7520,7525,-100,7463.87,7499.36,1,-5,2026-06-30 15:59:00,2026-06-30 13:04:00
Tasty Condor,OA-Mirror,,mirror-watch,baseline,T00039,SPY,ironcondor,expired,1,4.2,0,420,1080,2026-05-05 10:00:13,2026-06-30 16:15:00,2026-06-30 16:00:00,,False,680,665,755,770,-420,722.54,746.77,1,-1.02857143,2026-06-30 09:31:00,2026-06-02 11:23:00
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00045,SPX,shortputspread,closed,10,0.3,0.3,0,4700,2026-06-30 14:14:02,2026-06-30 14:17:02,2026-06-30 16:00:00,put side,True,7470,7465,,,-300,7495.68,7496.29,0.16666667,0,2026-06-30 14:15:00,2026-06-30 14:14:02
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00040,SPX,shortcallspread,closed,10,0.25,0.3,-50,4750,2026-06-30 14:10:03,2026-06-30 14:14:02,2026-06-30 16:00:00,call side,False,,,7520,7525,-250,7494.8,7495.92,0.2,0,2026-06-30 14:13:00,2026-06-30 14:10:03
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00040,SPX,shortputspread,closed,10,0.25,0.15,100,4750,2026-06-30 14:10:02,2026-06-30 14:14:00,2026-06-30 16:00:00,put side,False,7465,7460,,,-250,7494.94,7495.85,0.4,0,2026-06-30 14:14:00,2026-06-30 14:10:02
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00041,SPX,shortputspread,closed,10,0.3,0.2,100,4700,2026-06-30 14:07:02,2026-06-30 14:13:00,2026-06-30 16:00:00,put side,False,7465,7460,,,-300,7491.89,7494.58,0.33333333,-0.1,2026-06-30 14:13:00,2026-06-30 14:07:02
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00041,SPX,shortcallspread,closed,10,0.2,0.3,-100,4800,2026-06-30 14:07:03,2026-06-30 14:10:01,2026-06-30 16:00:00,call side,False,,,7520,7525,-200,7491.98,7494.94,0,-0.5,2026-06-30 14:07:03,2026-06-30 14:08:00
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00042,SPX,shortputspread,closed,10,0.15,0.25,-100,4850,2026-06-30 14:03:02,2026-06-30 14:07:01,2026-06-30 16:00:00,put side,False,7460,7455,,,-150,7494.95,7491.89,0,-0.53333333,2026-06-30 14:03:02,2026-06-30 14:06:00
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00042,SPX,shortcallspread,closed,11,0.5,0.35,165,4950,2026-06-30 14:03:03,2026-06-30 14:07:00,2026-06-30 16:00:00,call side,False,,,7515,7520,-550,7495.01,7491.88,0.3,0,2026-06-30 14:07:00,2026-06-30 14:03:03
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00044,SPX,shortcallspread,closed,10,0.25,0.35,-100,4750,2026-06-30 13:32:03,2026-06-30 14:03:02,2026-06-30 16:00:00,call side,True,,,7520,7525,-250,7492.39,7494.95,0.2,-0.2,2026-06-30 13:33:00,2026-06-30 13:34:00
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00043,SPX,shortputspread,closed,10,0.25,0.15,100,4750,2026-06-30 13:31:00,2026-06-30 14:03:00,2026-06-30 16:00:00,put side,False,7460,7455,,,-250,7492.67,7495.23,0.4,-0.4,2026-06-30 14:03:00,2026-06-30 13:40:00
IC-SPX-Fortress-Defang,IC,SPX,experiment,baseline,T00046,SPX,shortputspread,closed,10,0.1,0.15,-50,4900,2026-06-30 13:36:00,2026-06-30 13:38:01,2026-06-30 16:00:00,put side,True,7440,7435,,,-100,7494.24,7491.76,0,0,2026-06-30 13:36:00,2026-06-30 13:36:00
IC-SPX-Fortress-Unstopped,IC,SPX,control,pre-fix,T00048,SPX,shortputspread,closed,10,0.1,0.15,-50,4900,2026-06-30 13:36:00,2026-06-30 13:38:01,2026-06-30 16:00:00,put side,True,7440,7435,,,-100,7494.24,7491.76,0,0,2026-06-30 13:36:00,2026-06-30 13:36:00
IC-SPX-Fortress-Unstopped,IC,SPX,control,pre-fix,T00049,SPX,shortputspread,closed,10,0.1,0.1,0,4900,2026-06-30 13:31:00,2026-06-30 13:33:02,2026-06-30 16:00:00,put side,True,7435,7430,,,-100,7492.67,7491.76,0.5,0.2,2026-06-30 13:32:00,2026-06-30 13:31:01
