bot,pillar,underlying,role,status,n_trades,n_legs,total_pnl,win_rate_trade,win_rate_leg,first_trade,last_trade,epoch_start,needs_strike_fix,superseded
DIR-SPX-CallVIXdrop,Directional,SPX,experiment,ON,4,4,-955,25%,25%,2026-08-12,2026-08-27,2026-06-25,,
QQQ-IC-0DTE-Fortress-NoPT50,IC,QQQ,experiment,ON,1,2,-338,0%,50%,2026-08-26,2026-08-26,2026-06-12,Y,
GF-QQQ-IC-Canary,IC,QQQ,instrument,ON,11,15,5,91%,93%,2026-08-14,2026-08-31,2026-08-10,,
GF-QQQ-IC-Trail,IC,QQQ,experiment,ON,11,15,16,73%,80%,2026-08-14,2026-08-31,2026-08-10,,
GF-QQQ-IC-SL100,IC,QQQ,experiment,ON,11,15,30,64%,73%,2026-08-14,2026-08-31,2026-08-10,,
GF-QQQ-IC-SL200,IC,QQQ,experiment,ON,11,15,35,82%,80%,2026-08-14,2026-08-31,2026-08-10,,
GF-QQQ-IC-PT50,IC,QQQ,experiment,ON,11,15,43,91%,93%,2026-08-14,2026-08-31,2026-08-10,,
60min-ORB-10W-Paper-v1,OA-Mirror,SPX,mirror-watch,ON,9,9,60,78%,78%,2026-08-10,2026-08-28,,,
GF-QQQ-IC-Ride,IC,QQQ,control,ON,11,15,64,91%,87%,2026-08-14,2026-08-31,2026-08-10,,
GF-QQQ-IC-Touch0,IC,QQQ,experiment,ON,11,15,64,91%,87%,2026-08-14,2026-08-31,2026-08-10,,
GF-QQQ-IC-Ride-Delta,IC,QQQ,experiment,OFF,15,18,91,93%,94%,2026-08-14,2026-08-31,2026-08-10,,
IC-SPX-Fortress-Unstopped,IC,SPX,control,ON,1,1,100,100%,100%,2026-08-28,2026-08-28,2026-07-03,,
Trendy-Paper-v1,OA-Mirror,,mirror-watch,ON,2,2,102,100%,100%,2026-08-11,2026-08-17,,,
Friday 14 DTE Broken Wing IB (B-70),OA-Mirror,,mirror-watch,ON,1,1,140,100%,100%,2026-08-14,2026-08-14,,,
3DTE $140-$350,OA-Mirror,SPX,mirror-watch,ON,4,4,150,100%,100%,2026-08-10,2026-08-26,,,
Nigiri-Paper-v1,OA-Mirror,,mirror-watch,ON,10,10,350,90%,90%,2026-08-10,2026-08-27,,,
IC-SPX-FastPT25-S2,IC,SPX,live-candidate,ON,16,17,400,44%,47%,2026-08-10,2026-08-31,2026-06-08,,
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,ON,16,32,4200,88%,94%,2026-08-10,2026-08-31,,,
