botName,type,description,symbol,status,quantity,daysInTrade,openPrice,closePrice,premium,pnl,ror,returnPct,risk,ev,alpha,highReturnPct,lowReturnPct,highReturnPctDate,lowReturnPctDate,expiration,openDate,closeDate,tags,underlyingOpen,underlyingClose
"Tasty Condor","ironcondor","+675 put, -690 put, -772 call, +787 call","SPY","expired",1,69,4.05,0,-405,405,0.369863,1,1095,"135.854092","0.124068","0.92592593","-0.4691358","2026-07-02 15:50:00","2026-06-02 11:23:00","2026-07-17 16:00:00","2026-05-19 10:00:02","2026-07-27 15:25:42","",735.33,739.36
"Trendy-Paper-v1","shortputspread","-728 put, +718 put","SPY","expired",1,11,0.62,0,-62,62,0.066098,1,938,"-59.02996","-0.062932","0.08064516","-0.98387097","2026-07-02 11:01:00","2026-07-02 13:59:00","2026-07-13 16:00:00","2026-07-02 10:45:02","2026-07-13 16:02:48",,746.77,749.17
"Nigiri-Paper-v1","shortputspread","-719 put, +714 put","SPY","expired",10,11,0.08,0,-80,80,0.01626,1,4920,"-4.2349","-0.008625","0","-3","2026-07-02 09:53:00","2026-07-02 13:59:00","2026-07-10 16:00:00","2026-07-02 09:45:24","2026-07-13 16:02:48","",749.96,749.17
"3DTE $140-$350","ironcondor","+7,205 put, -7,215 put, -7,700 call, +7,710 call","SPX","expired",1,11,0.3,0,-30,30,0.030928,1,970,"-59.782124","-0.061504","0.5","-0.76666667","2026-07-02 15:55:00","2026-07-02 13:59:00","2026-07-08 16:00:00","2026-07-02 12:45:03","2026-07-13 16:02:48","240",7459.11,7515.81
"3DTE $140-$350","ironcondor","+7,220 put, -7,230 put, -7,720 call, +7,730 call","SPX","expired",1,7,0.35,0,-35,35,0.036269,1,965,"-55.200624","-0.057025","1","-0.28571429","2026-07-02 09:41:00","2026-06-30 10:49:00","2026-07-06 16:00:00","2026-06-30 10:05:03","2026-07-06 23:48:45","240",7472.4,7537.43
"3DTE $140-$350","ironcondor","+7,245 put, -7,255 put, -7,720 call, +7,730 call","SPX","expired",1,6,0.2,0,-20,20,0.020408,1,980,"-60.083094","-0.061309","1","-0.25","2026-07-02 10:07:00","2026-07-01 10:46:00","2026-07-06 16:00:00","2026-07-01 10:10:02","2026-07-06 23:48:45","230",7488.56,7537.43
"IC-SPX-FastPT25-S2","shortcallspread","-7,500 call, +7,505 call","SPX","expired",10,0,0.1,0,-100,100,0.020408,1,4900,"9.0284","0.018425","1","-0.5","2026-07-02 13:48:00","2026-07-02 13:17:00","2026-07-02 16:00:00","2026-07-02 13:02:03","2026-07-02 16:15:00","call side",7442.87,7483.24
"IC-SPX-Fortress-Unstopped","shortcallspread","-7,500 call, +7,505 call","SPX","expired",10,0,0.1,0,-100,100,0.020408,1,4900,"9.58835","0.019568","1","-0.5","2026-07-02 13:48:00","2026-07-02 14:41:00","2026-07-02 16:00:00","2026-07-02 13:31:02","2026-07-02 16:15:00","call side",7442.98,7483.24
"IC-SPX-Fortress-Unstopped","shortputspread","-7,385 put, +7,380 put","SPX","expired",10,0,0.15,0,-150,150,0.030928,1,4850,"14.69024","0.030289","1","-0.66666667","2026-07-02 14:13:00","2026-07-02 13:48:00","2026-07-02 16:00:00","2026-07-02 13:31:00","2026-07-02 16:15:00","put side",7443.1,7483.24
"IC-SPX-FastPT25-S2","shortputspread","-7,385 put, +7,380 put","SPX","expired",10,0,0.2,0,-200,200,0.041667,1,4800,"19.17308","0.039944","1","-1.25","2026-07-02 14:13:00","2026-07-02 13:05:00","2026-07-02 16:00:00","2026-07-02 13:02:02","2026-07-02 16:15:00","put side",7442.69,7483.24
