bot,pr,filename,sha256,no_source_fields
3DTE $140-$350,PR-07,3DTE_140_350.txt,b0caed9224ce8d6955881734024facb6879de30114c781ac09bd3fa3c3164d7f,ARM VARIABLE
60min-ORB-10W-Paper-v1,PR-12,60min_ORB_10W_Paper_v1.txt,d32c260fda63f74c97e0b7549208c960000318b5ff936dfad70079961de96d38,ARM VARIABLE
DIR-SPX-CallVIXdrop,PR-06,DIR_SPX_CallVIXdrop.txt,20699fb1154b9d512cc28f660fb4bddd59b189ea0b1e6076fc4d59ea320326dc,ARM VARIABLE
DIR-SPX-PutVIX22-SL75,PR-05,DIR_SPX_PutVIX22_SL75.txt,3a2dd5b37716ce97d53b421f3556c43780aacac9120e6285c730bd38a65d1624,ARM VARIABLE
Friday 14 DTE Broken Wing IB (B-70),PR-10,Friday_14_DTE_Broken_Wing_IB_B_70.txt,d10a904dee46228546b311c3312a18e31c5d473512b44a140a3b28419ddf19ce,ARM VARIABLE
GF-QQQ-IC-Canary,PR-20,GF_QQQ_IC_Canary.txt,ed40fe642e0e297f84586aa91939315ccbd6cd0f822a9d0b81b3f5ac8b53f50d,GATE EVAL DATE
GF-QQQ-IC-PT50,PR-15,GF_QQQ_IC_PT50.txt,a40685496e5bef16b62e72146a63ddf059d36b8c575a0e309051a48245b16e23,GATE EVAL DATE
GF-QQQ-IC-Ride,PR-14,GF_QQQ_IC_Ride.txt,35af9f5b84f9c7eca0968d2978924d9088c5f8a9573c2a84d4ca985ec3ca3aad,GATE EVAL DATE
GF-QQQ-IC-Ride-Delta,PR-23,GF_QQQ_IC_Ride_Delta.txt,5995721379ca82f637a724c06bf276c809c59bbbdd1689f3be09298d409f2ed3,"SAMPLE TARGET,REVIEW DATE,MAX LOSS,SIZING TIER,CONFIG HASH,VERIFICATION"
GF-QQQ-IC-SL100,PR-18,GF_QQQ_IC_SL100.txt,b326ef6b5d154e81fc45e3bcb212e0e35b3dddbc7772baed2dadae71e7fd3552,GATE EVAL DATE
GF-QQQ-IC-SL200,PR-19,GF_QQQ_IC_SL200.txt,878203daafd03c2b594c12498e6c59bbf83f46377788cd2ddb906ab6ad6fbb40,GATE EVAL DATE
GF-QQQ-IC-Touch0,PR-17,GF_QQQ_IC_Touch0.txt,d4c117743aa3ecd98bb962d1a0c8a99a5034814bee6124a01a69554c87d8955f,GATE EVAL DATE
GF-QQQ-IC-Trail,PR-16,GF_QQQ_IC_Trail.txt,f1c20031e44fc7e034ee5bafb5185f85b82688a78e69d06a743f87f1a4c45d66,GATE EVAL DATE
IC-SPX-FastPT25-S2,PR-01,IC_SPX_FastPT25_S2.txt,ec76a322c09044a63fdc788eb84dc23fa5c1d4bd1c5cc777491d7548a467ee91,"ARM VARIABLE,GATE EVAL DATE"
IC-SPX-FastPT25-S2-130PM,PR-02,IC_SPX_FastPT25_S2_130PM.txt,46b76f42e57416f7f568cc6319a645b3143c1a3ae1ab0e202b64ce41ac1bcb08,"ARM VARIABLE,GATE EVAL DATE"
IC-SPX-Fortress-Unstopped,INC-01,IC_SPX_Fortress_Unstopped.txt,5ab23fb7a1a05d1b2d7e22e2dccb026df4398c8076a0cce2b584c18beafc4452,"STATUS,HYPOTHESIS,ARM VARIABLE,GATE EVAL DATE,MAX LOSS,SIZING TIER"
Nigiri-Paper-v1,PR-08,Nigiri_Paper_v1.txt,c13edd931c1de914ddd9668651bd13a5d4461b041c8e0e5955733c86d46189bb,ARM VARIABLE
QQQ-IC-0DTE-Fortress-NoPT50,PR-04,QQQ_IC_0DTE_Fortress_NoPT50.txt,0206eb63dc60fcd0c9b9f24ca6fff7cd89300bcc21997fbaa1d3647c50c1ddc2,"ARM VARIABLE,GATE EVAL DATE"
Trendy-Paper-v1,PR-11,Trendy_Paper_v1.txt,194636bf646d7b73a679fa28e5e8dd284d2053a034aa48ff3b758c10bb3d9048,ARM VARIABLE
