botName,type,description,symbol,status,quantity,daysInTrade,openPrice,closePrice,premium,pnl,ror,returnPct,risk,ev,alpha,highReturnPct,lowReturnPct,highReturnPctDate,lowReturnPctDate,expiration,openDate,closeDate,tags,underlyingOpen,underlyingClose
"IC-SPX-FastPT25-S2-130PM","shortcallspread","-7,730 call, +7,735 call","SPX","expired",10,0,0.25,0,-250,250,0.052632,1,4750,"-18.54975","-0.039052","1","-0.28","2026-09-04 15:24:00","2026-09-04 13:36:00","2026-09-04 16:00:00","2026-09-04 13:31:01","2026-09-04 16:15:00","call side",7711.71,7718.6
"IC-SPX-FastPT25-S2-130PM","shortputspread","-7,690 put, +7,685 put","SPX","expired",10,0,0.35,0,-350,350,0.075269,1,4650,"4.90394","0.010501","1","-0.28571429","2026-09-04 14:53:00","2026-09-04 13:46:00","2026-09-04 16:00:00","2026-09-04 13:31:00","2026-09-04 16:15:00","put side",7711.72,7718.6
"GF-QQQ-IC-Ride","shortputspread","-715 put, +713 put","QQQ","closed",26,0,0.1,0.01,-260,234,0.047368,0.9,4940,"-7.02101","-0.037148","1","-0.9","2026-09-04 15:28:00","2026-09-04 13:46:00","2026-09-04 16:00:00","2026-09-04 13:31:11","2026-09-04 15:50:01","put side",717.28,718.91
"GF-QQQ-IC-SL100","shortputspread","-715 put, +713 put","QQQ","closed",26,0,0.1,0.01,-260,234,0.047368,0.9,4940,"-7.02101","-0.037148","1","-0.9","2026-09-04 15:28:00","2026-09-04 13:46:00","2026-09-04 16:00:00","2026-09-04 13:31:11","2026-09-04 15:50:01","put side",717.28,718.91
"GF-QQQ-IC-Trail","shortputspread","-715 put, +713 put","QQQ","closed",26,0,0.1,0.01,-260,234,0.047368,0.9,4940,"-7.02101","-0.037148","1","-0.9","2026-09-04 15:28:00","2026-09-04 13:46:00","2026-09-04 16:00:00","2026-09-04 13:31:11","2026-09-04 15:50:01","put side",717.28,718.91
"GF-QQQ-IC-Touch0","shortputspread","-715 put, +713 put","QQQ","closed",26,0,0.1,0.01,-260,234,0.047368,0.9,4940,"-7.02101","-0.037148","1","-0.9","2026-09-04 15:28:00","2026-09-04 13:46:00","2026-09-04 16:00:00","2026-09-04 13:31:11","2026-09-04 15:50:01","put side",717.28,718.91
"GF-QQQ-IC-SL200","shortputspread","-715 put, +713 put","QQQ","closed",26,0,0.1,0.01,-260,234,0.047368,0.9,4940,"-7.02101","-0.037148","1","-0.9","2026-09-04 15:28:00","2026-09-04 13:46:00","2026-09-04 16:00:00","2026-09-04 13:31:11","2026-09-04 15:50:01","put side",717.28,718.91
"GF-QQQ-IC-PT50","shortputspread","-715 put, +713 put","QQQ","closed",26,0,0.1,0.04,-260,156,0.031579,0.6,4940,"-7.02101","-0.037148","0.7","-0.9","2026-09-04 14:22:00","2026-09-04 13:46:00","2026-09-04 16:00:00","2026-09-04 13:31:11","2026-09-04 14:22:06","put side",717.28,717.62
"GF-QQQ-IC-Canary","shortputspread","-715 put, +713 put","QQQ","closed",1,0,0.1,0.09,-10,1,0.005263,0.1,190,"-7.02101","-0.037148","0.2","-0.9","2026-09-04 13:59:00","2026-09-04 13:46:00","2026-09-04 16:00:00","2026-09-04 13:31:11","2026-09-04 13:59:06","put side",717.28,717.21
"IC-SPX-FastPT25-S2","shortputspread","-7,655 put, +7,650 put","SPX","closed",10,0,0.15,0.15,-150,0,0,0,4850,"13.29622","0.027415","0","0","2026-09-04 11:01:01","2026-09-04 11:01:01","2026-09-04 16:00:00","2026-09-04 11:01:01","2026-09-04 11:04:01","put side",7710.71,7709.03
"Trendy-Paper-v1","shortputspread","-750 put, +740 put","SPY","closed",1,1,0.57,0.33,-57,24,0.025451,0.421053,943,"-4.20484","-0.004459","0.57894737","-0.07017544","2026-09-04 09:56:00","2026-09-03 10:35:00","2026-09-14 16:00:00","2026-09-03 10:30:02","2026-09-04 10:45:17",,768.67,770.42
