hour,regime,n_positions,n_touches,touch_rate,avg_mae_pct
09:30-10,Chop,1,0,,-2.12
09:30-10,n/a,3,0,,-0.353
10-11,Chop,2,0,0.0,-0.0938
10-11,n/a,13,0,,-0.8252
11-12,Chop,12,0,0.0,-0.0821
11-12,n/a,23,0,,-0.319
12-13,Chop,3,1,0.5,-0.7904
12-13,n/a,5,0,,-0.4579
13-14,Chop,32,8,0.25,-0.6778
13-14,Drift,12,0,0.0,-0.1429
13-14,Trend,7,0,0.0,-0.9671
13-14,n/a,97,0,,-0.7844
14-15,Chop,3,0,0.0,-0.8548
14-15,Drift,13,0,0.0,-0.6593
14-15,Trend,2,1,1.0,-1.4204
14-15,n/a,14,0,,-2.3429
15-16,Trend,1,0,0.0,-1.0909
15-16,n/a,3,0,,-1.1411
