bot,pillar,underlying,role,epoch,trade_id,symbol,structure,status,quantity,credit,exit_price,pnl,risk,open_date,close_date,expiration,tags,single_sided,short_put,long_put,short_call,long_call,premium,underlying_open,underlying_close,mfe_pct,mae_pct,mfe_date,mae_date
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00155,SPX,shortputspread,expired,10,0.25,0,250,4750,2026-08-18 13:31:02,2026-08-18 16:15:00,2026-08-18 16:00:00,put side,False,7680,7675,,,-250,7701.39,7691.76,1,-0.6,2026-08-18 15:25:00,2026-08-18 14:00:00
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00155,SPX,shortcallspread,expired,10,0.25,0,250,4750,2026-08-18 13:31:03,2026-08-18 16:15:00,2026-08-18 16:00:00,call side,False,,,7720,7725,-250,7701.63,7691.76,1,-0.2,2026-08-18 15:34:00,2026-08-18 13:32:00
60min-ORB-10W-Paper-v1,OA-Mirror,SPX,mirror-watch,baseline,T00156,SPX,shortcallspread,closed,1,1.7,1.2,50,830,2026-08-18 11:15:07,2026-08-18 13:18:00,2026-08-18 16:00:00,test b,True,,,7715,7725,-170,7696.74,7704.01,0.29411765,-0.48235294,2026-08-18 13:18:00,2026-08-18 12:23:00
IC-SPX-FastPT25-S2,IC,SPX,live-candidate,post-fix,T00157,SPX,shortputspread,closed,10,0.15,0.15,0,4850,2026-08-18 11:01:02,2026-08-18 11:03:03,2026-08-18 16:00:00,put side,True,7640,7635,,,-150,7696.65,7696.87,0.2,0,2026-08-18 11:03:00,2026-08-18 11:01:02
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00158,SPX,shortputspread,expired,10,0.25,0,250,4750,2026-08-17 13:31:01,2026-08-17 16:15:00,2026-08-17 16:00:00,put side,False,7730,7725,,,-250,7756.31,7745.06,1,-0.28,2026-08-17 14:49:00,2026-08-17 13:40:00
IC-SPX-FastPT25-S2-130PM,IC,SPX,experiment,baseline,T00158,SPX,shortcallspread,expired,10,0.3,0,300,4700,2026-08-17 13:31:03,2026-08-17 16:15:00,2026-08-17 16:00:00,call side,False,,,7775,7780,-300,7756.54,7745.06,1,0,2026-08-17 15:02:00,2026-08-17 13:31:02
GF-QQQ-IC-Ride,IC,QQQ,control,post-fix,T00159,QQQ,shortputspread,closed,1,0.1,0.01,9,190,2026-08-17 13:35:11,2026-08-17 15:50:01,2026-08-17 16:00:00,put side,True,727,725,,,-10,729.96,730.53,1,0,2026-08-17 14:50:00,2026-08-17 13:35:12
GF-QQQ-IC-Ride-Delta,IC,QQQ,experiment,post-fix,T00160,QQQ,shortputspread,closed,1,0.09,0.01,8,191,2026-08-17 13:35:14,2026-08-17 15:50:01,2026-08-17 16:00:00,put side,True,727,725,,,-9,729.91,730.53,1,-0.11111111,2026-08-17 14:50:00,2026-08-17 13:35:15
GF-QQQ-IC-Ride-Delta,IC,QQQ,experiment,post-fix,T00161,QQQ,shortputspread,closed,1,0.1,0.01,9,190,2026-08-17 13:35:11,2026-08-17 15:50:01,2026-08-17 16:00:00,put side,True,727,725,,,-10,729.96,730.53,1,0,2026-08-17 14:50:00,2026-08-17 13:35:12
GF-QQQ-IC-SL200,IC,QQQ,experiment,post-fix,T00162,QQQ,shortputspread,closed,1,0.1,0.01,9,190,2026-08-17 13:35:11,2026-08-17 15:50:01,2026-08-17 16:00:00,put side,True,727,725,,,-10,729.96,730.53,1,0,2026-08-17 14:50:00,2026-08-17 13:35:12
